Category,Message
ham,yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2 but we wont go there not doing too badly cheers you
ham,hey i will be really pretty late you want to go for the lesson first i will join you im only reaching tp mrt
spam,someone has contacted our dating service and entered your phone because they fancy you to find out who it is call from a landline 09111032124  pobox12n146tf150p
ham,sweetheart hope you are not having that kind of day have one with loads of reasons to smile biola
ham,stupidits not possible
spam,bored housewives chat n date now 08717507711 btnational rate 10pmin only from landlines
spam,congrats 2 mobile 3g videophones r yours call 09063458130 now videochat wid your mates play java games dload polyph music noline rentl
ham,i like to talk pa but am not able to i dont know y
spam,get 3 lions england tone reply lionm 4 mono or lionp 4 poly 4 more go 2 wwwringtonescouk the original n best tones 3gbp network operator rates apply
spam,hard live 121 chat just 60pmin choose your girl and connect live call 09094646899 now cheap chat uks biggest live service vu bcm1896wc1n3xx
spam,free top ringtone sub to weekly ringtoneget 1st week freesend subpoly to 816183 per weekstop sms08718727870
ham,vikky come around  lttimegt 
spam,free entry in 2 a weekly comp for a chance to win an ipod txt pod to 80182 to get entry std txt rate tcs apply 08452810073 for details 18
ham,
spam,free ringtone text first to 87131 for a poly or text get to 87131 for a true tone help 0845 2814032 16 after 1st free tones are 3x150pw to end txt stop
ham,sno competition for him
ham,i dont know oh hopefully this month
spam,important information 4 orange user  today is your lucky day2find out why log onto httpwwwurawinnercom theres a fantastic surprise awaiting you
spam,get your garden ready for summer with a free selection of summer bulbs and seeds worth 3350 only with the scotsman this saturday to stop go2 notxtcouk
ham,sorry ill call later
ham,hui xin is in da lib
spam,you have won a guaranteed 1000 cash or a 2000 prizeto claim yr prize call our customer service representative on
spam,want 2 get laid tonight want real dogging locations sent direct 2 ur mob join the uks largest dogging network bt txting gravel to 69888 nt ec2a 31pmsg150p
spam,camera  you are awarded a sipix digital camera call 09061221066 fromm landline delivery within 28 days
ham,no i was trying it all weekend v
ham,jokin only lar  depends on which phone my father can get lor
ham,true deari sat to pray evening and felt soso i smsd you in some time
ham,there the size of elephant tablets  u shove um up ur ass
ham,one small prestige problem now
ham,dont know supports ass and srt i thnk i think ps3 can play through usb too
spam,83039 62735450 uk break accommodationvouchers terms  conditions apply 2 claim you mustprovide your claim number which is 15541
spam,valentines day special win over 1000 in our quiz and take your partner on the trip of a lifetime send go to 83600 now 150pmsg rcvd custcare08718720201
spam,get the official england poly ringtone or colour flag on yer mobile for tonights game text tone or flag to 84199 optout txt eng stop box39822 w111wx 150
ham,sorry ill call later
spam,your free ringtone is waiting to be collected simply text the password mix to 85069 to verify get usher and britney fml po box 5249 mk17 92h 450ppw 16
spam,freemessage jamsterget the crazy frog sound now for poly text mad1 for real text mad2 to 88888 6 crazy sounds for just 3 gbpweek 16only tcs apply
spam,urgent call 09066612661 from landline your complementary 4 tenerife holiday or 10000 cash await collection sae tcs po box 3 wa14 2px 150ppm 18 sender hol offer
ham,could you not read me my love  i answered you
spam,dear 0776xxxxxxx uve been invited to xchat this is our final attempt to contact u txt chat to 86688 150pmsgrcvdhgsuite3422landsroww1j6hl ldn 18yrs
spam,hot live fantasies call now 08707509020 just 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 is a national rate call
ham,well its not like you actually called someone a punto that woulda been worse
spam,25p 4 alfie moons children in need song on ur mob tell ur m8s txt tone charity to 8007 for nokias or poly charity for polys zed 08701417012 profit 2 charity
spam,private your 2004 account statement for 0784987 shows 786 unredeemed bonus points to claim call 08719180219 identifier code 45239 expires 060505
ham,da my birthdate in certificate is in april but real date is today but dont publish it i shall give you a special treat if you keep the secret any way thanks for the wishes
ham,happy new years melody
spam,sms auction you have won a nokia 7250i this is what you get when you win our free auction to take part send nokia to 86021 now hgsuite3422lands roww1jhl 16
ham,messagesome text missing sendername missing number missing sentdate missing missing u a lot thats y everything is missing sent via fullonsmscom
ham,ok let u noe when i leave my house
ham,you have got tallent but you are wasting
ham,do 1 thing change that sentence into because i want 2 concentrate in my educational career im leaving here
ham,yo dude guess who just got arrested the other day
spam,well done england get the official poly ringtone or colour flag on yer mobile text tone or flag to 84199 now optout txt eng stop box39822 w111wx 150
spam,sms ac jsco energy is high but u may not know where 2channel it 2day ur leadership skills r strong psychic reply ans wquestion end reply end jsco
ham,are you this much buzy
ham,also remember to get dobbys bowl from your car
spam,todays voda numbers ending 1225 are selected to receive a 50award if you have a match please call 08712300220 quoting claim code 3100 standard rates app
spam,you will recieve your tone within the next 24hrs for terms and conditions please see channel u teletext pg 750
spam,for taking part in our mobile survey yesterday you can now have 500 texts 2 use however you wish 2 get txts just send txt to 80160 tc wwwtxt43com 150p
ham,hey elaine is todays meeting still on
spam,interflora  its not too late to order interflora flowers for christmas call 0800 505060 to place your order before midnight tomorrow
ham,make sure alex knows his birthday is over in fifteen minutes as far as youre concerned
spam,free for 1st week no1 nokia tone 4 ur mobile every week just txt nokia to 8077 get txting and tell ur mates wwwgetzedcouk pobox 36504 w45wq 16 norm150ptone
ham,im a guy browsin is compulsory
ham,hey come online use msn we are all there
spam,ur tonexs subscription has been renewed and you have been charged 450 you can choose 10 more polys this month wwwclubzedcouk billing msg
ham,yesgauti and sehwag out of odi series
spam,hi this is amy we will be sending you a free phone number in a couple of days which will give you an access to all the adult parties
spam,urgent your mobile no was awarded 2000 bonus caller prize on 5903 this is our final try to contact u call from landline 09064019788 box42wr29c 150ppm
spam,u are subscribed to the best mobile content service in the uk for 3 per ten days until you send stop to 83435 helpline 08706091795
spam,tmobile customer you may now claim your free camera phone upgrade  a pay  go sim card for your loyalty call on 0845 021 3680offer ends 28thfebtcs apply
ham,sorry ill call later
spam,eastenders tv quiz what flower does dot compare herself to d violet e tulip f lily txt d e or f to 84025 now 4 chance 2 win 100 cash wkent150p16
spam,orange customer you may now claim your free camera phone upgrade for your loyalty call now on 0207 153 9996 offer ends 14thmarch tcs apply optout availa
spam,urgent your mobile number has been awarded with a 2000 prize guaranteed call 09061790121 from land line claim 3030 valid 12hrs only 150ppm
spam,0anetworks allow companies to bill for sms so they are responsible for their suppliers just as a shop has to give a guarantee on what they sell b g
spam,freemsg txt call to no 86888  claim your reward of 3 hours talk time to use from your phone now subscribe6gbpmnth inc 3hrs 16 stoptxtstop
ham,i thk 530 lor but dunno can get tickets a not wat u doing now
ham,its too latebut its kwish you the same
ham,the fact that youre cleaning shows you know why im upset your priority is constantly what i want to do not what i need to do
ham,mmm so yummy babe  nice jolt to the suzy
ham, was really good to see you the other day dudette been missing you
ham,ill see but prolly yeah
ham,i liked your new house
ham,ok lor anyway i thk we cant get tickets now cos like quite late already u wan 2 go look 4 ur frens a not darren is wif them now
ham,i cant speak bcaz mobile have problem i can listen you but you cannt listen my voice so i calls you later
spam,no 1 nokia tone 4 ur mob every week just txt nok to 87021 1st tone free  so get txtin now and tell ur friends 150ptone 16 reply hl 4info
spam,u have a secret admirer reveal who thinks u r so special call 09065174042 to opt out reply reveal stop 150 per msg recd cust care 07821230901
ham,to day class is there are no class
ham,hi mobile no  ltgt  has added you in their contact list on wwwfullonsmscom it s a great place to send free sms to people for more visit fullonsmscom
spam,had your mobile 11 months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on 08002986030
ham,mode men or have you left
spam,someone u know has asked our dating service 2 contact you cant guess who call 09058091854 now all will be revealed po box385 m6 6wu
ham,hey are you going to quit soon xuhui and i working till end of the month
spam,free message activate your 500 free text messages by replying to this message with the word free for terms  conditions visit www07781482378com
ham,goodmorning today i am late for 2hrs because of back pain
ham,babe  how goes that day  what are you doing  where are you  i sip my cappuccino and think of you my love  i send a kiss to you from across the sea
ham,tell them the drug dealers getting impatient
ham,just seeing your missed call my dear brother do have a gr8 day
ham,i got like  ltgt  i can get some more later though get whatever you feel like
ham,what do u reckon as need 2 arrange transport if u cant do it thanks
spam,do you want 750 anytime any network mins 150 text and a new video phone for only five pounds per week call 08000776320 now or reply for delivery tomorrow
ham,hey chief can you give me a bell when you get this need to talk to you about this royal visit on the 1st june
spam,from wwwapplausestorecom monthlysubscription50pmsg max6month tcsc web age16 2stop txt stop
spam,ree entry in 2 a weekly comp for a chance to win an ipod txt pod to 80182 to get entry std txt rate tcs apply 08452810073 for details 18
ham,many more happy returns of the day i wish you happy birthday
ham,yo you around a friend of mines lookin to pick up later tonight
spam,please call 08712402779 immediately as there is an urgent message waiting for you
ham,nope think i will go for it on monday sorry i replied so late
ham,arngd marriage is while u r walkin unfortuntly a snake bites u bt love marriage is dancing in frnt of d snake amp sayin bite me bite me
spam,please call our customer service representative on freephone 0808 145 4742 between 9am11pm as you have won a guaranteed 1000 cash or 5000 prize
spam,romantic paris 2 nights 2 flights from 79 book now 4 next year call 08704439680tscs apply
spam,hmv bonus special 500 pounds of genuine hmv vouchers to be won just answer 4 easy questions play now send hmv to 86688 more infowww100percentrealcom
spam,dear voucher holder to claim this weeks offer at you pc please go to httpwwwetlpcoukexpressoffer tscs apply to stop texts txt stop to 80062
ham,hello my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of meare you missing me 
ham,anything lor u decide
ham,this girl does not stay in bed this girl doesnt need recovery time id rather pass out while having fun then be cooped up in bed
ham,is avatar supposed to have subtoitles
spam,free top ringtone sub to weekly ringtoneget 1st week freesend subpoly to 816183 per weekstop sms08718727870
spam,dear voucher holder have your next meal on us use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttpwwwvouch4mecometlpdiningasp
spam,block breaker now comes in deluxe format with new features and great graphics from tmobile buy for just 5 by replying get bbdeluxe and take the challenge
ham,ok ü finishing soon
ham,pls help me tell ashley that i cant find her number oh
spam,themob check out our newest selection of content games tones gossip babes and sport keep your mobile fit and funky text wap to 82468
ham,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing
ham,oh yah we never cancel leh haha
ham,i love u 2 my little pocy bell i am sorry but i love u
ham,yeah imma come over cause jay wants to do some drugs
spam,reply to win 100 weekly where will the 2006 fifa world cup be held send stop to 87239 to end service
ham,its a part of checking iq
ham,how have your little darlings been so far this week need a coffee run tomocant believe its that time of week already 
spam,themobyo yo yohere comes a new selection of hot downloads for our members to get for free just click  open the next link sent to ur fone
spam,update_now  12mths half price orange line rental 400minscall mobileupd8 on 08000839402 or call2optoutj5q
spam,hi ya babe x u 4goten bout me scammers getting smartthough this is a regular vodafone no if you respond you get further prem rate msgsubscription other nos used also beware
spam,your credits have been topped up for httpwwwbubbletextcom your renewal pin is tgxxrz
spam,your chance to be on a reality fantasy show call now  08707509020 just 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 is a national  rate call
spam,u were outbid by simonwatson5120 on the shinco dvd plyr 2 bid again visit sms acsmsrewards 2 end bid notifications reply end out
ham,havent seen my facebook huh lol
ham,did you get any gift this year i didnt get anything so bad
ham,sorry ill call later
spam,urgent we are trying to contact you last weekends draw shows that you have won a 900 prize guaranteed call 09061701939 claim code s89 valid 12hrs only
spam,congratulations ur awarded either a yrs supply of cds from virgin records or a mystery gift guaranteed call 09061104283 tscs wwwsmsconet 150pm approx 3mins
ham,any way where are you and what doing
ham,aight ill hit you up when i get some cash
spam,i dont know u and u dont know me send chat to 86688 now and lets find each other only 150pmsg rcvd hgsuite3422landsroww1j6hl ldn 18 years or over
ham,lol  i really need to remember to eat when im drinking but i do appreciate you keeping me company that night babe smiles
ham,ill give her once i have it plus she said grinule greet you whenever we speak
spam,44 7732584351 do you want a new nokia 3510i colour phone deliveredtomorrow with 300 free minutes to any mobile  100 free texts  free camcorder reply or call 08000930705
spam,spook up your mob with a halloween collection of a logo  pic message plus a free eerie tone txt card spook to 8007 zed 08701417012150p per logopic
spam,this weeks savamob member offers are now accessible just call 08709501522 for details savamob pobox 139 la3 2wu only 150week savamob  offers mobile
ham,g says you never answer your texts confirmdeny
spam,free video camera phones with half price line rental for 12 mths and 500 cross ntwk mins 100 txts call mobileupd8 08001950382 or call2optout674
spam,error
spam,auction round 4 the highest bid is now 54 next maximum bid is 71 to bid send bids e g 10 to bid 10 to 83383 good luck
spam,dear subscriber ur draw 4 100 gift voucher will b entered on receipt of a correct ans when was elvis presleys birthday txt answer to 80062
spam,a 400 xmas reward is waiting for you our computer has randomly picked you from our loyal mobile customers to receive a 400 reward just call 09066380611
spam,win the newest harry potter and the order of the phoenix book 5 reply harry answer 5 questions  chance to be the first among readers
spam,ringtone club get the uk singles chart on your mobile each week and choose any top quality ringtone this message is free of charge
spam,do you ever notice that when youre driving anyone going slower than you is an idiot and everyone driving faster than you is a maniac
ham,there bold 2  ltgt  is that yours
ham,good good job i like entrepreneurs
spam,this message is free welcome to the new  improved sex  dogging club to unsubscribe from this service reply stop msgs150p 18only
ham,stop calling everyone saying i might have cancer my throat hurts to talk i cant be answering everyones calls if i get one more call im not babysitting on monday
ham,i thk ü gotta go home by urself cos ill b going out shopping 4 my frens present
spam,dont b floppy b snappy  happy only gay chat service with photo upload call 08718730666 10pmin 2 stop our texts call 08712460324
spam,u r a winner u ave been specially selected 2 receive 1000 cash or a 4 holiday flights inc speak to a live operator 2 claim 0871277810710pmin 18 
ham, and dont worry well have finished by march  ish
spam,final chance claim ur 150 worth of discount vouchers today text yes to 85023 now savamob member offers mobile t cs savamob pobox84 m263uz 300 subs 16
spam,1000s flirting now txt girl or bloke  ur name  age eg girl zoe 18 to 8007 to join and get chatting
spam,dear uve been invited to xchat this is our final attempt to contact u txt chat to 86688 150pmsgrcvdhgsuite3422landsroww1j6hl ldn 18 yrs
spam,thank you winner notified by sms good luck no future marketing reply stop to 84122 customer services 08450542832
spam,natalja 25f is inviting you to be her friend reply yes440 or no440 see her wwwsmsacunat27081980 stop send stop frnd to 62468
ham,nope meanwhile she talk say make i greet you
spam,send a logo 2 ur lover  2 names joined by a heart txt love name1 name2 mobno eg love adam eve 07123456789 to 87077 yahoo pobox36504w45wq txtno 4 no ads 150p
spam,ur going 2 bahamas callfreefone 08081560665 and speak to a live operator to claim either bahamas cruise of2000 cash 18only to opt out txt x to 07786200117
ham,im so in love with you im excited each day i spend with you you make me so happy
ham,sorry ill call you  later i am in meeting sir
spam,congratulations thanks to a good friend u have won the 2000 xmas prize 2 claim is easy just call 08718726978 now only 10p per minute btnationalrate
spam,gent we are trying to contact you last weekends draw shows that you won a 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs only 150ppm
spam,i am hot n horny and willing i live local to you  text a reply to hear strt back from me 150p per msg netcollex ltdhelpdesk 02085076972 reply stop to end
ham,gokila is talking with you aha
spam,want the latest video handset 750 anytime any network mins half price line rental reply or call 08000930705 for delivery tomorrow
spam,free for 1st week no1 nokia tone 4 ur mob every week just txt nokia to 87077 get txting and tell ur mates zed pobox 36504 w45wq norm150ptone 16
spam,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to 82277 150 sptyrone
ham,feel yourself that you are always happy slowly it becomes your habit amp finally it becomes part of your life follow it happy morning amp have a happy day
ham,up to ü ü wan come then come lor but i din c any stripes skirt
ham,is that seriously how you spell his name
ham,once free call me sir
ham,i cant keep going through this it was never my intention to run you out but if you choose to do that rather than keep the room clean so i dont have to say no to visitors then maybe thats the best choice yes i wanted you to be embarassed so maybe youd feel for once how i feel when i have a friend who wants to drop buy and i have to say no as happened this morning ive tried everything i dont know what else to do
ham,i cant pick the phone right now pls send a message
ham,symptoms when u are in love 1u like listening songs 2u get stopped where u see the name of your beloved 3u wont get angry when your
spam,mila age23 blonde new in uk i look sex with uk guys if u like fun with me text mtalk to 6986618  30pptxt 1st 5free 150 increments help08718728876
spam,urgent your mobile number has been awarded with a 2000 bonus caller prize call 09058095201 from land line valid 12hrs only
spam,74355 xmas iscoming  ur awarded either 500 cd gift vouchers  free entry 2 r 100 weekly draw txt music to 87066 tnc
spam,ou are guaranteed the latest nokia phone a 40gb ipod mp3 player or a 500 prize txt word collect to no 83355 ibhltd ldnw15h 150pmtmsgrcvd18
ham,zoe it just hit me 2 im fucking shitin myself il defo try my hardest 2 cum 2morow luv u millions lekdog
spam,u have a secret admirer who is looking 2 make contact with ufind out who they rreveal who thinks ur so specialcall on 09058094594
ham,was the actual exam harder than nbme
spam,4mths half price orange line rental  latest camera phones 4 free had your phone 11mths  call mobilesdirect free on 08000938767 to update now or2stoptxt
ham,i dont can you send it to me plus hows mode
spam,final chance claim ur 150 worth of discount vouchers today text yes to 85023 now savamob member offers mobile t cs savamob pobox84 m263uz 300 subs 16
spam,urgent you have won a 1 week free membership in our 100000 prize jackpot txt the word claim to no 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
spam,bloomberg message center 447797706009 why wait apply for your future httpcareers bloombergcom
ham,all will come alivebetter correct any good looking figure there itself
ham,dont give a monkeys wot they think and i certainly dont mind any friend of mineall that just dont sleep wiv  that wud be annoyin
ham,only 2 students solved this cat question in xam 532 ltgt  924 ltgt  863 ltgt  then 725 tell me the answer if u r brilliant1thingi got d answr
spam,please call 08712402578 immediately as there is an urgent message waiting for you
ham,sorry da i gone mad so many pending works what to do
spam,last chance 2 claim ur 150 worth of discount voucherstext yes to 85023 nowsavamobmember offers mobile t cs 08717898035 300 sub 16  remove txt x or stop
spam,shop till u drop is it you either 10k 5k 500 cash or 100 travel voucher call now 09064011000 ntt po box cr01327bt fixedline cost 150ppm mobile vary
spam,you have an important customer service announcement from premier call freephone 0800 542 0578 now
ham,good friends care for each other close friends understand each other and true friends stay forever beyond words beyond time gud ni8
spam,do you want a new nokia 3510i colour phone deliveredtomorrow with 300 free minutes to any mobile  100 free texts  free camcorder reply or call 08000930705
spam,do you want a new nokia 3510i colour phone deliveredtomorrow with 300 free minutes to any mobile  100 free texts  free camcorder reply or call 08000930705
spam,sexy sexy cum and text me im wet and warm and ready for some porn u up for some fun this msg is free recd msgs 150p inc vat 2 cancel text stop
spam,want 2 get laid tonight want real dogging locations sent direct 2 ur mob join the uks largest dogging network by txting moan to 69888nyt ec2a 31pmsg150p
spam,you have won a guaranteed 200 award or even 1000 cashto claim ur award call free on 08000407165 18 2 stop getstop on 88222 php rg21 4jx
spam,fantasy football is back on your tv go to sky gamestar on sky active and play 250k dream team scoring starts on saturday so register nowsky opt out to 88088
ham,hey why dont we just go watch x men and have lunch haha
ham,i wanted to ask ü to wait 4 me to finish lect cos my lect finishes in an hour anyway
ham,sorry ill call later
spam,call 09095350301 and send our girls into erotic ecstacy just 60pmin to stop texts call 08712460324 nat rate
ham,omg if its not one thing its another my cat has worms  when does this bad day end
spam,hi its lucy hubby at meetins all day fri  i will b alone at hotel u fancy cumin over pls leave msg 2day 09099726395 lucy x calls1minmobsmorelkpobox177hp51fl
spam,had your mobile 10 mths update to latest orange cameravideo phones for free save s with free textsweekend calls text yes for a callback orno to opt out
spam,urgent please call 0906346330 your abta complimentary 4 spanish holiday or 10000 cash await collection sae tcs box 47 po19 2ez 150ppm 18
spam,you have been selected to stay in 1 of 250 top british hotels  for nothing holiday worth 350 to claim call london 02072069400 bx 526 sw73ss
ham,and do you have any one that can teach me how to ship cars
spam,england v macedonia  dont miss the goalsteam news txt ur national team to 87077 eg england to 87077 trywales scotland 4txtú120 poboxox36504w45wq 16
spam,for ur chance to win 250 cash every wk txt play to 83370 tscs wwwmusictrivianet custcare 08715705022 1x150pwk
ham,i am real baby i want to bring out your inner tigress
ham,hey i will be late im at amk need to drink tea or coffee
spam,oh my god ive found your number again im so glad text me back xafter this msgs cst std ntwk chg 150
ham,no messageno responcewhat happend
spam,sorry u can not unsubscribe yet the mob offer package has a min term of 54 weeks pls resubmit request after expiry reply themob help 4 more info
spam,important message this is a final contact attempt you have important messages waiting out our customer claims dept expires 13404 call 08717507382 now
ham,hi harishs rent has been transfred to ur acnt
spam,think ur smart  win 200 this week in our weekly quiz text play to 85222 nowtcs winnersclub po box 84 m26 3uz 16 gbp150week
ham,hi you just spoke to maneesha v wed like to know if you were satisfied with the experience reply toll free with yes or no
spam,want to funk up ur fone with a weekly new tone reply tones2u 2 this text wwwringtonescouk the original n best tones 3gbp network operator rates apply
spam,error
ham,is she replying has boye changed his phone number
ham,mum hope you are having a great day hoping this text meets you well and full of life have a great day abiola
ham,i cant pick the phone right now pls send a message
spam,had your contract mobile 11 mnths latest motorola nokia etc all free double mins  text on orange tariffs text yes for callback no to remove from records
ham,nobody can decide where to eat and dad wants chinese
ham,its wylie you in tampa or sarasota
spam,got what it takes 2 take part in the wrc rally in oz u can with lucozade energy text rally le to 61200 25p see packs or lucozadecoukwrc  itcould be u
spam,88800 and 89034 are premium phone services call 08718711108
spam,welcome please reply with your age and gender to begin eg 24m
ham,sorry sir i will call you tomorrow  senthilhsbc
ham,otherwise had part time job natuition
spam,sms services for your inclusive text credits pls gotto wwwcomuknet login 3qxj9 unsubscribe with stop no extra charge help 08702840625 comuk220cm2 9ae
ham,ok no wahala just remember that a friend in need 
ham,im there and i can see you but you cant see me  maybe you should reboot ym  i seen the buzz
spam,more people are dogging in your area now call 09090204448 and join like minded guys why not arrange 1 yourself theres 1 this evening a150 minapn ls278bb
spam,can u get 2 phone now i wanna chat 2 set up meet call me now on 09096102316 u can cum here 2moro luv jane xx calls1minmoremobsemspobox45po139wa
ham,no yes please been swimming
spam,join the uks horniest dogging service and u can have sex 2nite just sign up and follow the instructions txt entry to 69888 now nytec2a3lpmsg150p
ham,sorry light turned green i meant another friend wanted  ltgt  worth but he may not be around
spam,u 447801259231 have a secret admirer who is looking 2 make contact with ufind out who they rreveal who thinks ur so specialcall on 09058094597
spam,urgent your mobile number has been awarded a ukp2000 prize guaranteed call 09061790125 from landline claim 3030 valid 12hrs only 150ppm
